home_team,away_team,home_goals,away_goals,date,attendance,venue,referee,result,home_form_goals_scored,home_form_goals_conceded,home_form_wins,home_form_draws,home_form_losses,home_form_matches,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_wins,away_form_draws,away_form_losses,away_form_matches,away_form_win_rate,season
Leverkusen,Gladbach,0,0,1989-08-12,,,Hans Fux,draw,0.8,0.8,11,15,10,36,0.3055555555555556,0.6,1.8,12,15,9,36,0.3333333333333333,
Werder Bremen,Dortmund,2,0,1989-08-12,,,Manfred Neuner,win,1.4,0.6,18,10,8,36,0.5,1.8,1.4,13,13,10,36,0.3611111111111111,
Bochum,Hamburger SV,3,1,1989-08-12,,,Werner Föckler,win,0.8,2.8,9,8,19,36,0.25,1.6,0.8,17,11,8,36,0.4722222222222222,
Stuttgart,Mannheim,1,0,1989-08-12,,,Manfred Amerell,win,0.8,0.8,17,8,11,36,0.4722222222222222,2.2,1.4,11,11,14,36,0.3055555555555556,
St Pauli,Nürnberg,0,1,1989-08-12,,,Heinz Werner,loss,1.8,2.0,9,15,12,36,0.25,1.6,1.8,8,11,17,36,0.2222222222222222,
Nürnberg,Werder Bremen,1,1,1989-08-15,,,Hans-Peter Dellwing,draw,1.4,1.4,9,11,17,37,0.24324324324324326,1.4,0.6,19,10,8,37,0.5135135135135135,
Homburg,Leverkusen,2,1,1989-08-15,,,Wolf-Günter Wiesel,win,0.6666666666666666,2.0,0,1,2,3,0.0,0.8,0.8,11,16,10,37,0.2972972972972973,
Mannheim,Uerdingen,1,1,1989-08-15,,,Gerhard Theobald,draw,1.8,1.4,11,11,15,37,0.2972972972972973,1.4,2.2,11,12,14,37,0.2972972972972973,
Gladbach,St Pauli,4,1,1989-08-15,,,Rainer Boos,win,0.4,1.6,12,16,9,37,0.32432432432432434,1.6,1.8,9,15,13,37,0.24324324324324326,
Dortmund,Düsseldorf,1,0,1989-08-16,,,Aron Schmidhuber,win,1.4,1.6,13,13,11,37,0.35135135135135137,1.3333333333333333,1.6666666666666667,0,2,1,3,0.0,
Hamburger SV,Stuttgart,1,0,1989-08-16,,,Dieter Pauly,win,1.6,1.2,17,11,9,37,0.4594594594594595,1.0,0.8,18,8,11,37,0.4864864864864865,
Eint Frankfurt,Bochum,4,0,1989-08-16,,,Hans-Heinrich Barnick,win,1.8,1.0,10,11,16,37,0.2702702702702703,1.2,2.6,10,8,19,37,0.2702702702702703,
